dateq,date,cnt
2017Q1,201703,40
2017Q2,201706,50
2017Q3,201709,57
2017Q4,201712,62
2018Q1,201803,62
2018Q2,201806,64
2018Q3,201809,64
2018Q4,201812,70
2019Q1,201903,74
2019Q2,201906,81
2019Q3,201909,95
2019Q4,201912,100
2020Q1,202003,100
2020Q2,202006,101
2020Q3,202009,101
2020Q4,202012,102
2021Q1,202103,106
2021Q2,202106,108
2021Q3,202109,110
2021Q4,202112,113
2022Q1,202203,112
2022Q2,202205,113
2022Q3,202208,115
2023Q1,202302,121
2023Q3,202307,126
2024Q2,202405,133
2024Q3,202408,133
2024Q4,202408,142
2025Q1,202503,145
2025Q2,202506,145
2025Q3,202509,148
2025Q4,202511,151